X,Y,Red,NIR,Class
10,10,438.0,610.0,0
15,10,759.0,2135.0,1
20,10,724.0,1849.0,1
25,10,1022.0,2179.0,1
30,10,810.0,1664.0,1
35,10,1042.0,2028.0,1
40,10,2579.0,3248.0,0
45,10,5131.0,4920.0,0
50,10,7049.0,6777.0,0
55,10,4510.0,4593.0,0
60,10,1088.0,928.0,0
65,10,3573.0,3546.0,0
70,10,808.0,1920.0,1
75,10,747.0,2810.0,1
80,10,658.0,1920.0,1
85,10,698.0,2223.0,1
90,10,668.0,1469.0,1
95,10,880.0,1726.0,1
100,10,823.0,1241.0,0
105,10,184.0,367.0,1
110,10,293.0,707.0,1
115,10,956.0,2309.0,1
120,10,520.0,1704.0,1
125,10,425.0,1017.0,1
130,10,475.0,1574.0,1
135,10,656.0,1365.0,1
140,10,576.0,1391.0,1
145,10,636.0,1887.0,1
150,10,1064.0,1997.0,0
155,10,1393.0,1754.0,0
160,10,1637.0,2029.0,0
165,10,1849.0,2334.0,0
170,10,875.0,750.0,0
175,10,671.0,554.0,0
180,10,755.0,597.0,0
185,10,3246.0,3356.0,0
190,10,4948.0,4852.0,0
195,10,4651.0,4513.0,0
200,10,1148.0,1608.0,0
205,10,2492.0,2609.0,0
210,10,2582.0,2479.0,0
215,10,4718.0,4711.0,0
220,10,1935.0,1845.0,0
225,10,560.0,529.0,0
230,10,1257.0,1117.0,0
235,10,1131.0,1576.0,0
240,10,898.0,2149.0,1
245,10,456.0,513.0,0
250,10,2415.0,2270.0,0
255,10,1207.0,1712.0,0
260,10,1035.0,2168.0,1
265,10,411.0,1316.0,1
270,10,1120.0,2175.0,1
275,10,379.0,1256.0,1
280,10,241.0,637.0,1
285,10,226.0,389.0,0
290,10,547.0,1486.0,1
295,10,598.0,924.0,0
300,10,876.0,1349.0,0
10,15,4722.0,4609.0,0
15,15,894.0,1639.0,0
20,15,2959.0,3545.0,0
25,15,682.0,1652.0,1
30,15,645.0,1454.0,1
35,15,1770.0,1810.0,0
40,15,2314.0,2299.0,0
45,15,4199.0,4263.0,0
50,15,2657.0,3346.0,0
55,15,4078.0,3927.0,0
60,15,4344.0,3974.0,0
65,15,1747.0,2049.0,0
70,15,1617.0,2171.0,0
75,15,692.0,2122.0,1
80,15,501.0,1408.0,1
85,15,291.0,533.0,0
90,15,727.0,1514.0,1
95,15,844.0,1644.0,1
100,15,843.0,1550.0,0
105,15,502.0,2199.0,1
110,15,350.0,1169.0,1
115,15,166.0,196.0,0
120,15,299.0,364.0,0
125,15,489.0,1270.0,1
130,15,566.0,1455.0,1
135,15,582.0,1324.0,1
140,15,676.0,1478.0,1
145,15,1372.0,1753.0,0
150,15,358.0,565.0,0
155,15,541.0,542.0,0
160,15,3368.0,3226.0,0
165,15,3721.0,3587.0,0
170,15,483.0,400.0,0
175,15,802.0,695.0,0
180,15,5367.0,5471.0,0
185,15,5323.0,5210.0,0
190,15,1549.0,1790.0,0
195,15,1783.0,2750.0,0
200,15,1004.0,1521.0,0
205,15,5181.0,4878.0,0
210,15,7122.0,6459.0,0
215,15,4431.0,4232.0,0
220,15,2438.0,2167.0,0
225,15,1800.0,1451.0,0
230,15,1432.0,1839.0,0
235,15,1268.0,2137.0,0
240,15,1186.0,1434.0,0
245,15,2961.0,3022.0,0
250,15,2150.0,2056.0,0
255,15,1965.0,2616.0,0
260,15,777.0,903.0,0
265,15,955.0,1736.0,0
270,15,879.0,1693.0,1
275,15,345.0,973.0,1
280,15,407.0,1463.0,1
285,15,498.0,1114.0,1
290,15,652.0,1725.0,1
295,15,674.0,1499.0,1
300,15,810.0,1257.0,0
10,20,1484.0,1480.0,0
15,20,573.0,804.0,0
20,20,424.0,900.0,1
25,20,856.0,1689.0,1
30,20,946.0,1673.0,0
35,20,1395.0,2470.0,0
40,20,1036.0,1645.0,0
45,20,2018.0,2743.0,0
50,20,1967.0,2228.0,0
55,20,2156.0,2432.0,0
60,20,2320.0,2562.0,0
65,20,3997.0,3715.0,0
70,20,4830.0,4642.0,0
75,20,1729.0,2348.0,0
80,20,954.0,2054.0,1
85,20,1184.0,2049.0,0
90,20,1586.0,2353.0,0
95,20,734.0,1574.0,1
100,20,734.0,1739.0,1
105,20,391.0,1051.0,1
110,20,719.0,1823.0,1
115,20,337.0,861.0,1
120,20,598.0,1655.0,1
125,20,941.0,1211.0,0
130,20,1484.0,1886.0,0
135,20,424.0,412.0,0
140,20,377.0,376.0,0
145,20,3347.0,3263.0,0
150,20,2997.0,2942.0,0
155,20,1075.0,1148.0,0
160,20,423.0,430.0,0
165,20,897.0,865.0,0
170,20,2251.0,2184.0,0
175,20,8375.0,8048.0,0
180,20,2391.0,2656.0,0
185,20,1178.0,1602.0,0
190,20,1664.0,2379.0,0
195,20,1219.0,1935.0,0
200,20,3089.0,3033.0,0
205,20,2535.0,2643.0,0
210,20,9271.0,8618.0,0
215,20,6992.0,6403.0,0
220,20,1715.0,1537.0,0
225,20,5684.0,5537.0,0
230,20,3820.0,3813.0,0
235,20,1068.0,1982.0,0
240,20,603.0,678.0,0
245,20,3274.0,3181.0,0
250,20,4520.0,3741.0,0
255,20,934.0,1680.0,0
260,20,433.0,717.0,0
265,20,499.0,1555.0,1
270,20,1708.0,2325.0,0
275,20,381.0,899.0,1
280,20,386.0,1453.0,1
285,20,731.0,1792.0,1
290,20,696.0,1594.0,1
295,20,757.0,1602.0,1
300,20,1305.0,2063.0,0
10,25,933.0,1277.0,0
15,25,1531.0,2270.0,0
20,25,1046.0,2217.0,1
25,25,2671.0,2707.0,0
30,25,965.0,2079.0,1
35,25,406.0,947.0,1
40,25,1259.0,1952.0,0
45,25,516.0,536.0,0
50,25,1094.0,1528.0,0
55,25,1284.0,2281.0,0
60,25,2035.0,2035.0,0
65,25,3295.0,3665.0,0
70,25,2239.0,2928.0,0
75,25,1274.0,1988.0,0
80,25,814.0,2190.0,1
85,25,594.0,2001.0,1
90,25,582.0,1896.0,1
95,25,658.0,1299.0,1
100,25,712.0,1553.0,1
105,25,696.0,2153.0,1
110,25,164.0,229.0,0
115,25,406.0,1130.0,1
120,25,859.0,2157.0,1
125,25,801.0,1702.0,1
130,25,803.0,1190.0,0
135,25,1038.0,2092.0,1
140,25,1250.0,2076.0,0
145,25,3050.0,2972.0,0
150,25,1316.0,2134.0,0
155,25,1145.0,1857.0,0
160,25,1294.0,1724.0,0
165,25,2380.0,2366.0,0
170,25,1347.0,1606.0,0
175,25,1389.0,1708.0,0
180,25,855.0,1173.0,0
185,25,880.0,1292.0,0
190,25,1351.0,2574.0,0
195,25,697.0,1176.0,0
200,25,1174.0,1817.0,0
205,25,3238.0,3238.0,0
210,25,2670.0,2424.0,0
215,25,4688.0,4274.0,0
220,25,5529.0,5365.0,0
225,25,8133.0,7739.0,0
230,25,3828.0,3662.0,0
235,25,5457.0,5366.0,0
240,25,740.0,653.0,0
245,25,5977.0,5515.0,0
250,25,1576.0,2131.0,0
255,25,1135.0,2134.0,0
260,25,865.0,1553.0,0
265,25,830.0,1447.0,0
270,25,406.0,1543.0,1
275,25,309.0,946.0,1
280,25,385.0,1249.0,1
285,25,692.0,1682.0,1
290,25,646.0,1599.0,1
295,25,1200.0,2174.0,0
300,25,798.0,1343.0,0
10,30,1020.0,1800.0,0
15,30,2000.0,2761.0,0
20,30,1202.0,2272.0,0
25,30,460.0,1449.0,1
30,30,1197.0,1038.0,0
35,30,354.0,808.0,1
40,30,688.0,2090.0,1
45,30,933.0,2236.0,1
50,30,3304.0,3143.0,0
55,30,758.0,2270.0,1
60,30,1896.0,2294.0,0
65,30,2268.0,2918.0,0
70,30,4591.0,4870.0,0
75,30,854.0,2684.0,1
80,30,831.0,1440.0,0
85,30,576.0,1701.0,1
90,30,564.0,1698.0,1
95,30,752.0,2322.0,1
100,30,802.0,1195.0,0
105,30,366.0,1190.0,1
110,30,621.0,1589.0,1
115,30,293.0,586.0,1
120,30,774.0,1981.0,1
125,30,834.0,2162.0,1
130,30,770.0,1712.0,1
135,30,709.0,2007.0,1
140,30,831.0,1565.0,0
145,30,1206.0,1982.0,0
150,30,831.0,1725.0,1
155,30,369.0,682.0,0
160,30,925.0,1005.0,0
165,30,1178.0,1471.0,0
170,30,1064.0,1721.0,0
175,30,1438.0,2327.0,0
180,30,1312.0,2220.0,0
185,30,910.0,3008.0,1
190,30,1285.0,2554.0,1
195,30,513.0,1251.0,1
200,30,456.0,475.0,0
205,30,2808.0,2442.0,0
210,30,5129.0,5083.0,0
215,30,3453.0,3749.0,0
220,30,1234.0,1780.0,0
225,30,1862.0,1941.0,0
230,30,1021.0,1486.0,0
235,30,1219.0,1477.0,0
240,30,2016.0,2317.0,0
245,30,2033.0,2470.0,0
250,30,4582.0,4528.0,0
255,30,1178.0,1943.0,0
260,30,519.0,956.0,0
265,30,428.0,1635.0,1
270,30,1630.0,2231.0,0
275,30,405.0,964.0,1
280,30,387.0,926.0,1
285,30,513.0,1437.0,1
290,30,552.0,1595.0,1
295,30,648.0,1589.0,1
300,30,1017.0,1666.0,0
10,35,938.0,2761.0,1
15,35,1065.0,3639.0,1
20,35,664.0,1750.0,1
25,35,618.0,1977.0,1
