Patch,NDVI_2023,NDVI_2024,Change,Class_2023,Class_2024
"(0:10,0:10)",0.3040778558793144,0.32469514290943324,0.020617287030118836,land,vegetation
"(0:10,10:20)",0.3058566707693097,0.2817485360406647,-0.024108134728645036,land,land
"(0:10,20:30)",0.31298393272891567,0.2846652857882254,-0.02831864694069025,vegetation,land
"(0:10,30:40)",0.20999534748274262,0.20937800762477643,-0.0006173398579661926,land,land
"(0:10,40:50)",0.03372330720394782,0.14071261571725094,0.10698930851330313,land,land
"(0:10,50:60)",0.01284601612570888,0.06627191550631056,0.05342589938060168,land,land
"(0:10,60:70)",0.06894521266249688,0.10742743239605254,0.03848221973355566,land,land
"(0:10,70:80)",0.3577954774878609,0.34205423430646514,-0.015741243181395748,vegetation,vegetation
"(0:10,80:90)",0.37830318601341234,0.3290485465834178,-0.04925463942999453,vegetation,vegetation
"(0:10,90:100)",0.34204394759732715,0.3301374899935003,-0.011906457603826859,vegetation,vegetation
"(0:10,100:110)",0.4002405427719558,0.36419146128972185,-0.03604908148223396,vegetation,vegetation
"(0:10,110:120)",0.3274198361367214,0.25065110156561277,-0.07676873457110861,vegetation,land
"(0:10,120:130)",0.4212593347349177,0.3560389515071099,-0.06522038322780782,vegetation,vegetation
"(0:10,130:140)",0.4074407520916854,0.3322407630625605,-0.07519998902912489,vegetation,vegetation
"(0:10,140:150)",0.2053530472213431,0.1188807640964556,-0.0864722831248875,land,land
"(0:10,150:160)",0.15161461494199333,0.0912070870671085,-0.06040752787488482,land,land
"(0:10,160:170)",0.06846207830927496,0.04794793143836559,-0.02051414687090937,land,land
"(0:10,170:180)",-0.026497016129120338,-0.007185206349277026,0.01931180977984331,land,land
"(0:10,180:190)",-0.03424600544683221,-0.0022183378495147016,0.03202766759731751,land,land
"(0:10,190:200)",0.00020061248234934216,0.039382631431684,0.03918201894933466,land,land
"(0:10,200:210)",0.027052388651108553,0.06390416872225052,0.03685178007114197,land,land
"(0:10,210:220)",0.002540672890511325,0.038871307211324174,0.03633063432081285,land,land
"(0:10,220:230)",0.1297652928517886,0.14728026805933556,0.017514975207546968,land,land
"(0:10,230:240)",0.26031514381065124,0.2712157036920694,0.010900559881418137,land,land
"(0:10,240:250)",0.25033848556968197,0.20822010740389685,-0.04211837816578512,land,land
"(0:10,250:260)",0.1918104633062349,0.16643883764462963,-0.02537162566160528,land,land
"(0:10,260:270)",0.3301346242674969,0.30944942028427813,-0.02068520398321877,vegetation,vegetation
"(0:10,270:280)",0.4730642036432699,0.46124706549228345,-0.01181713815098645,vegetation,vegetation
"(0:10,280:290)",0.35217526853127423,0.3212589704213542,-0.030916298109920026,vegetation,vegetation
"(0:10,290:300)",0.238405128273681,0.21643166433993405,-0.02197346393374694,land,land
"(0:10,300:310)",0.0638083016646181,0.09407388975132232,0.030265588086704223,land,land
"(10:20,0:10)",0.0373823748033006,0.10581036615501917,0.06842799135171856,land,land
"(10:20,10:20)",0.2650085638379094,0.2524138267639178,-0.012594737073991558,land,land
"(10:20,20:30)",0.3133738541060053,0.2902421808122683,-0.023131673293737,vegetation,vegetation
"(10:20,30:40)",0.21306291707530786,0.1538765289091297,-0.05918638816617816,land,land
"(10:20,40:50)",0.0643875307020033,0.13772989164333566,0.07334236094133235,land,land
"(10:20,50:60)",0.014685411537524553,0.08083550371009025,0.0661500921725657,land,land
"(10:20,60:70)",0.013353283436764708,0.09052329541331808,0.07717001197655338,land,land
"(10:20,70:80)",0.35122611466795256,0.3824594692451486,0.03123335457719606,vegetation,vegetation
"(10:20,80:90)",0.32945381334388935,0.2567888069980936,-0.07266500634579576,vegetation,land
"(10:20,90:100)",0.33833482782321644,0.3046363344466132,-0.033698493376603245,vegetation,vegetation
"(10:20,100:110)",0.4548111517367978,0.40200742818227836,-0.052803723554519455,vegetation,vegetation
"(10:20,110:120)",0.28364509038977015,0.17950936671095863,-0.10413572367881152,land,land
"(10:20,120:130)",0.38738114562637543,0.26405803993017646,-0.12332310569619898,vegetation,land
"(10:20,130:140)",0.349567826526819,0.2417860608359614,-0.1077817656908576,vegetation,land
"(10:20,140:150)",0.2591835777083961,0.16790314996626798,-0.09128042774212813,land,land
"(10:20,150:160)",0.06916814196801792,0.009731428384339356,-0.059436713583678566,land,land
"(10:20,160:170)",-0.02668294424496405,-0.031092216830912265,-0.004409272585948216,land,land
"(10:20,170:180)",-0.05224965600779343,-0.034380238043527786,0.017869417964265645,land,land
"(10:20,180:190)",-0.001605739437382651,0.030466901379605487,0.032072640816988136,land,land
"(10:20,190:200)",0.14015568201338477,0.15960824333902096,0.019452561325636192,land,land
"(10:20,200:210)",0.04541762014116832,0.11175473485066822,0.0663371147094999,land,land
"(10:20,210:220)",-0.022648260601315136,0.00486791856135482,0.027516179162669956,land,land
